h	k	l	d (Å)	F(real)	F(imag)	|F|	2?	I	M	ID(?)	Phase
1	1	1	6.050973	33.469354	4.290328	33.7432	14.62731	0.58839	8	1	1
1	1	1	6.050973	33.46262	4.306128	33.7385	14.66296	0.29266	8	2	1
2	0	0	5.240296	86.652556	-19.805933	88.8872	16.90559	2.27825	6	1	1
2	0	0	5.240296	86.753569	-19.873036	89.0007	16.94687	1.13634	6	2	1
2	2	0	3.705449	591.263811	92.00163	598.379	23.99648	100	12	1	1
2	2	0	3.705449	591.15168	92.343702	598.321	24.05551	49.73351	12	2	1
3	1	1	3.160018	3.206853	3.128114	4.47984	28.21747	0.00796	24	1	1
3	1	1	3.160018	3.199111	3.138998	4.48192	28.28729	0.00396	24	2	1
2	2	2	3.025487	-329.867771	-39.901855	332.272	29.50001	13.27913	8	1	1
2	2	2	3.025487	-329.786376	-40.053097	332.21	29.57314	6.602	8	2	1
4	0	0	2.620148	900.761673	109.639868	907.41	34.19386	54.00956	6	1	1
4	0	0	2.620148	900.668793	110.056479	907.368	34.2793	26.85591	6	2	1
3	3	1	2.404413	-16.580664	2.068033	16.7091	37.37027	0.0603	24	1	1
3	3	1	2.404413	-16.589324	2.074431	16.7185	37.46421	0.03002	24	2	1
4	2	0	2.343532	59.098362	-18.356568	61.8836	38.37854	0.77988	24	1	1
4	2	0	2.343532	59.192538	-18.418796	61.992	38.47522	0.38914	24	2	1
4	2	2	2.139342	486.83921	86.581678	494.478	42.20796	40.2921	24	1	1
4	2	2	2.139342	486.733872	86.903585	494.431	42.31518	20.02805	24	2	1
3	3	3	2.016991	-31.100858	1.103406	31.1204	44.90322	0.04629	8	1	1
5	1	1	2.016991	51.008831	6.311378	51.3978	44.90322	0.37876	24	1	1
3	3	3	2.016991	-31.110351	1.105721	31.13	45.01802	0.02302	8	2	1
5	1	1	2.016991	51.003373	6.335346	51.3953	45.01802	0.18828	24	2	1
4	4	0	1.852725	730.224659	102.736055	737.416	49.1348	31.78633	12	1	1
4	4	0	1.852725	730.137076	103.126256	737.384	49.2618	15.79875	12	2	1
5	3	1	1.771544	30.680493	5.219589	31.1213	51.54714	0.20305	48	1	1
5	3	1	1.771544	30.674114	5.23895	31.1183	51.68128	0.10091	48	2	1
6	0	0	1.746765	54.21528	-16.308756	56.6151	52.33332	0.08115	6	1	1
4	4	2	1.746765	44.431842	-16.980863	47.5661	52.33332	0.22913	24	1	1
6	0	0	1.746765	54.303601	-16.363546	56.7155	52.46982	0.04048	6	2	1
4	4	2	1.746765	44.519643	-17.038447	47.6687	52.46982	0.11438	24	2	1
